columna,porcentaje_nulos
PUNT_C_NATURALES,35.89
PUNT_LECTURA_CRITICA,35.89
PUNT_GLOBAL,35.89
PUNT_SOCIALES_CIUDADANAS,35.89
COLE_BILINGUE,4.19
FAMI_EDUCACIONMADRE,3.72
FAMI_EDUCACIONPADRE,3.7
FAMI_ESTRATOVIVIENDA,2.79
FAMI_TIENECOMPUTADOR,2.64
FAMI_TIENEINTERNET,2.43
FAMI_PERSONASHOGAR,1.59
FAMI_TIENEAUTOMOVIL,1.57
FAMI_CUARTOSHOGAR,1.54
FAMI_TIENELAVADORA,1.53
ESTU_COD_RESIDE_DEPTO,0.64
ESTU_COD_RESIDE_MCPIO,0.64
ESTU_DEPTO_RESIDE,0.64
ESTU_MCPIO_RESIDE,0.64
COLE_CODIGO_ICFES,0.44
COLE_CARACTER,0.21
ESTU_GENERO,0.13
COLE_AREA_UBICACION,0.08
COLE_CALENDARIO,0.08
DESEMP_INGLES,0.03
COLE_GENERO,0.0
COLE_JORNADA,0.0
COLE_MCPIO_UBICACION,0.0
COLE_COD_DANE_SEDE,0.0
COLE_COD_DEPTO_UBICACION,0.0
COLE_COD_DANE_ESTABLECIMIENTO,0.0
ESTU_CONSECUTIVO,0.0
ESTU_TIPODOCUMENTO,0.0
PERIODO,0.0
COLE_DEPTO_UBICACION,0.0
COLE_COD_MCPIO_UBICACION,0.0
COLE_NOMBRE_SEDE,0.0
COLE_NOMBRE_ESTABLECIMIENTO,0.0
COLE_NATURALEZA,0.0
ESTU_NACIONALIDAD,0.0
ESTU_PRIVADO_LIBERTAD,0.0
ESTU_PAIS_RESIDE,0.0
ESTU_DEPTO_PRESENTACION,0.0
ESTU_ESTADOINVESTIGACION,0.0
COLE_SEDE_PRINCIPAL,0.0
ESTU_COD_MCPIO_PRESENTACION,0.0
ESTU_COD_DEPTO_PRESENTACION,0.0
ESTU_MCPIO_PRESENTACION,0.0
ESTU_ESTUDIANTE,0.0
ESTU_FECHANACIMIENTO,0.0
PUNT_MATEMATICAS,0.0
PUNT_INGLES,0.0
